name,fileName,emotion,episode
100years,cropped_82,fear,epi9
100years,cropped_83,sad,epi9
100years,cropped_84,None,epi9
100years,cropped_85,sad,epi9
100years,cropped_86,None,epi9
100years,cropped_87,None,epi9
100years,cropped_88,sad,epi9
100years,cropped_89,surprise,epi9
100years,cropped_9,sad,epi9
100years,cropped_90,sad,epi9
100years,cropped_91,sad,epi9
100years,cropped_92,sad,epi9
100years,cropped_93,sad,epi9
100years,cropped_94,happy,epi9
100years,cropped_95,sad,epi9
100years,cropped_96,None,epi9
100years,cropped_97,None,epi9
100years,cropped_98,sad,epi9
100years,cropped_99,sad,epi9
100years,cropped_1,sad,epi8
100years,cropped_10,sad,epi8
100years,cropped_100,None,epi8
100years,cropped_11,disgust,epi8
100years,cropped_12,fear,epi8
100years,cropped_13,fear,epi8
100years,cropped_14,sad,epi8
100years,cropped_15,None,epi8
100years,cropped_16,angry,epi8
100years,cropped_17,sad,epi8
100years,cropped_18,angry,epi8
100years,cropped_19,sad,epi8
100years,cropped_2,angry,epi8
100years,cropped_20,sad,epi8
100years,cropped_21,sad,epi8
100years,cropped_22,happy,epi8
100years,cropped_23,fear,epi8
100years,cropped_24,sad,epi8
100years,cropped_25,fear,epi8
100years,cropped_26,None,epi8
100years,cropped_27,fear,epi8
100years,cropped_28,None,epi8
100years,cropped_29,None,epi8
100years,cropped_3,sad,epi8
100years,cropped_30,happy,epi8
100years,cropped_31,sad,epi8
100years,cropped_32,sad,epi8
100years,cropped_33,sad,epi8
100years,cropped_34,sad,epi8
100years,cropped_35,None,epi8
100years,cropped_36,happy,epi8
100years,cropped_37,sad,epi8
100years,cropped_38,sad,epi8
100years,cropped_39,sad,epi8
100years,cropped_4,fear,epi8
100years,cropped_40,sad,epi8
100years,cropped_41,sad,epi8
100years,cropped_42,sad,epi8
100years,cropped_43,sad,epi8
100years,cropped_44,sad,epi8
100years,cropped_45,None,epi8
100years,cropped_46,happy,epi8
100years,cropped_47,happy,epi8
100years,cropped_48,None,epi8
100years,cropped_49,happy,epi8
100years,cropped_5,sad,epi8
100years,cropped_50,happy,epi8
100years,cropped_51,fear,epi8
100years,cropped_52,sad,epi8
100years,cropped_53,fear,epi8
100years,cropped_54,happy,epi8
100years,cropped_55,fear,epi8
100years,cropped_56,sad,epi8
100years,cropped_57,sad,epi8
100years,cropped_58,sad,epi8
100years,cropped_59,happy,epi8
100years,cropped_6,sad,epi8
100years,cropped_60,sad,epi8
100years,cropped_61,sad,epi8
100years,cropped_62,sad,epi8
100years,cropped_63,None,epi8
100years,cropped_64,sad,epi8
100years,cropped_65,happy,epi8
100years,cropped_66,sad,epi8
100years,cropped_67,sad,epi8
100years,cropped_68,surprise,epi8
100years,cropped_69,fear,epi8
100years,cropped_7,sad,epi8
100years,cropped_70,fear,epi8
100years,cropped_71,happy,epi8
100years,cropped_72,fear,epi8
100years,cropped_73,happy,epi8
100years,cropped_74,happy,epi8
100years,cropped_75,sad,epi8
100years,cropped_76,happy,epi8
100years,cropped_77,None,epi8
